travel_type,market,measure,unit,state,state_abbrev,period_type,year,quarter,period_label,is_calendar_year_end,value,source,source_file,original_table,original_title
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2021,Q4,Q4 2021,True,5910.25,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2022,Q1,Q1 2022,False,5851.32,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2022,Q2,Q2 2022,False,6401.744,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2022,Q3,Q3 2022,False,6690.17,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2022,Q4,Q4 2022,True,6849.857,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2023,Q1,Q1 2023,False,6364.254,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2023,Q2,Q2 2023,False,6510.354,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2023,Q3,Q3 2023,False,6670.981,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2023,Q4,Q4 2023,True,6709.967,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2024,Q1,Q1 2024,False,6210.455,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2024,Q2,Q2 2024,False,6362.514,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2024,Q3,Q3 2024,False,6568.132,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Queensland,QLD,quarter,2024,Q4,Q4 2024,True,6760.98,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,South Australia,SA,quarter,2019,Q1,Q1 2019,False,1906.188,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,South Australia,SA,quarter,2019,Q2,Q2 2019,False,1693.843,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,South Australia,SA,quarter,2019,Q3,Q3 2019,False,1619.65,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,South Australia,SA,quarter,2019,Q4,Q4 2019,True,1888.115,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,South Australia,SA,quarter,2020,Q1,Q1 2020,False,1930.181,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,South Australia,SA,quarter,2020,Q2,Q2 2020,False,1024.392,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
