travel_type,market,measure,unit,state,state_abbrev,year,annual_value,annual_method,source
Overnight,All overnight,Spend,AUD millions,Northern Territory,NT,2019,730.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Northern Territory,NT,2020,348.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Northern Territory,NT,2021,749.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Northern Territory,NT,2022,1153.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Northern Territory,NT,2023,1177.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Northern Territory,NT,2024,1202.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,ACT,ACT,2019,1464.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,ACT,ACT,2020,980.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,ACT,ACT,2021,911.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,ACT,ACT,2022,1864.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,ACT,ACT,2023,1890.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,ACT,ACT,2024,2489.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Australia,AUS,2019,26705.274,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Australia,AUS,2020,12054.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Australia,AUS,2021,13304.473,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Australia,AUS,2022,25807.718,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Australia,AUS,2023,27420.086,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Australia,AUS,2024,28108.636,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,New South Wales,NSW,2019,9957.154,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,New South Wales,NSW,2020,5119.08,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,New South Wales,NSW,2021,5172.892,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,New South Wales,NSW,2022,9124.57,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,New South Wales,NSW,2023,10071.734,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,New South Wales,NSW,2024,10306.866,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Victoria,VIC,2019,6014.622,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Victoria,VIC,2020,2123.996,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Victoria,VIC,2021,2144.63,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Victoria,VIC,2022,5541.158,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Victoria,VIC,2023,6058.221,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Victoria,VIC,2024,6361.268,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Queensland,QLD,2019,5890.738,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Queensland,QLD,2020,2395.718,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Queensland,QLD,2021,3014.644,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Queensland,QLD,2022,6580.754,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Queensland,QLD,2023,6542.168,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Queensland,QLD,2024,6547.683,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,South Australia,SA,2019,1758.334,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,South Australia,SA,2020,730.486,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,South Australia,SA,2021,983.192,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,South Australia,SA,2022,1754.434,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,South Australia,SA,2023,1885.393,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,South Australia,SA,2024,1964.975,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Western Australia,WA,2019,973.572,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Western Australia,WA,2020,300.388,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Western Australia,WA,2021,333.753,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Western Australia,WA,2022,742.661,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Western Australia,WA,2023,1028.32,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Western Australia,WA,2024,1104.099,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Tasmania,TAS,2019,965.95,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Tasmania,TAS,2020,379.027,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,Interstate,Trips,000 trips,Tasmania,TAS,2021,562.261,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
